time;points;iterations
134.978;23307;87
359.694;23308;99
308.595;23336;98
224.681;23278;90
155.621;23318;90
162.775;23323;93
271.274;23355;82
216.785;23329;101
198.889;23268;89
301.583;23345;101
242.672;23331;91
282.986;23334;104
325.771;23320;101
274.088;23339;113
191.517;23300;92
251.658;23294;92
292.237;23273;90
349.331;23331;100
208.723;23337;84
258.806;23326;100
213.670;23311;99
216.219;23351;100
339.549;23324;103
243.994;23316;104
242.782;23298;105
200.698;23352;104
282.855;23312;106
235.924;23316;85
227.718;23319;103
346.023;23309;92
338.692;23321;95
363.373;23263;92
224.692;23346;100
237.572;23248;91
113.940;23299;101
212.510;23384;99
145.871;23339;102
102.855;23268;92
151.743;23309;97
212.951;23306;94
246.581;23323;100
280.731;23369;92
158.513;23351;89
235.538;23322;83
188.563;23294;108
354.301;23325;114
320.487;23323;101
284.076;23340;118
189.306;23382;106
361.262;23331;94
316.969;23362;101
282.601;23321;107
213.608;23361;88
233.511;23352;96
332.030;23364;90
228.532;23322;96
366.252;23350;98
190.867;23315;104
240.356;23293;94
269.676;23337;89
396.313;23341;91
294.142;23310;108
258.891;23312;102
266.355;23313;101
291.106;23329;112
347.571;23329;108
268.314;23360;113
189.612;23374;101
360.852;23310;121
333.472;23339;105
317.030;23307;109
186.962;23218;85
289.684;23325;85
267.837;23302;99
189.368;23307;94
227.175;23329;89
163.935;23295;98
409.488;23350;104
144.423;23318;83
189.900;23318;93
157.351;23335;91
194.490;23310;87
278.380;23307;92
157.255;23273;92
251.502;23306;99
210.550;23332;96
174.490;23298;107
250.456;23310;96
191.929;23289;90
432.722;23344;106
192.152;23325;93
227.273;23374;92
206.949;23302;91
255.058;23316;96
235.565;23365;92
292.143;23320;94
280.369;23341;98
303.315;23315;103
176.254;23313;91
271.928;23305;90
136.530;23282;97
194.367;23352;85
328.257;23311;105
292.144;23361;114
152.882;23310;93
338.507;23319;100
196.527;23365;108
201.712;23325;99
144.319;23320;98
274.054;23329;97
237.655;23303;106
210.115;23302;90
235.605;23293;104
199.341;23302;87
136.385;23250;83
313.184;23369;113
230.759;23344;101
175.808;23315;92
371.734;23336;102
269.486;23327;90
309.566;23329;97
211.896;23325;85
281.176;23295;79
276.722;23324;104
215.352;23326;97
211.890;23376;109
244.231;23310;94
194.589;23286;97
108.855;23294;85
348.198;23358;104
261.845;23307;110
331.975;23326;95
226.569;23316;82
491.681;23333;105
268.129;23324;94
265.786;23332;99
231.628;23310;105
187.459;23329;88
186.848;23313;111
337.352;23350;102
239.764;23305;106
227.284;23342;113
244.797;23305;99
183.078;23355;92
270.120;23288;92
165.568;23309;97
283.819;23345;102
235.480;23326;90
279.055;23317;96
325.452;23291;112
269.749;23293;107
348.587;23340;94
182.338;23236;87
318.785;23276;101
213.221;23346;109
251.723;23305;118
289.992;23350;84
262.843;23316;96
211.039;23307;107
232.394;23289;97
281.904;23328;115
223.887;23350;88
188.788;23306;99
150.471;23294;91
166.540;23325;78
150.223;23257;86
227.477;23293;109
314.111;23326;96
168.621;23312;98
168.561;23374;99
314.865;23304;92
503.451;23319;98
213.775;23365;90
236.943;23278;96
218.119;23349;101
206.295;23330;106
516.913;23348;101
151.946;23290;91
272.673;23349;109
166.962;23324;76
325.681;23360;93
239.084;23305;104
267.970;23268;106
186.732;23339;86
180.112;23327;104
174.246;23302;92
229.691;23349;90
161.481;23284;95
170.951;23274;96
228.457;23300;95
257.712;23338;110
199.236;23295;81
192.211;23322;90
391.205;23369;107
315.420;23299;94
204.601;23328;103
182.715;23311;95
160.721;23266;97
198.093;23319;95
341.051;23362;90
163.982;23291;102
377.617;23354;114
140.076;23324;88
207.880;23295;109
291.226;23305;108
