run_id;startPoints;endPoints
557;12543;23254
558;11726;23326
559;11178;23325
560;12283;23318
561;13705;23317
562;11985;23287
563;11388;23346
564;10334;23351
565;11570;23357
566;12338;23342
567;12567;23259
568;10943;23292
569;11644;23340
570;12385;23320
571;11952;23364
572;12870;23323
573;11849;23330
574;10962;23279
575;12268;23313
576;12192;23317
577;12268;23335
578;11343;23313
579;11218;23341
580;12436;23342
581;12546;23345
582;13205;23323
583;11976;23309
584;12876;23313
585;11563;23352
586;11449;23374
587;10575;23327
588;11781;23368
589;11834;23294
590;11557;23290
591;13057;23352
592;11570;23298
593;13072;23296
594;12352;23353
595;12478;23239
596;12499;23343
597;12821;23329
598;11522;23332
599;11011;23296
600;11725;23296
601;11765;23272
602;11775;23328
603;12492;23318
604;12539;23271
605;11466;23237
606;11989;23260
607;11835;23309
608;12165;23327
609;12708;23287
610;12884;23311
611;10961;23340
612;11441;23320
613;13509;23320
614;11977;23311
615;10967;23242
616;13422;23366
617;12155;23333
618;12159;23321
619;12164;23363
620;11695;23342
621;12651;23315
622;11545;23265
623;11410;23368
624;12837;23319
625;10639;23312
626;12146;23266
627;12544;23350
628;11499;23344
629;12415;23311
630;11786;23319
631;12705;23313
632;12506;23322
633;11433;23336
634;10686;23341
635;11270;23342
636;10518;23315
637;11924;23257
638;11735;23350
639;11369;23334
640;12330;23291
641;11467;23332
642;11475;23330
643;10044;23275
644;11462;23300
645;11575;23301
646;11645;23351
647;11354;23304
648;11368;23312
649;12824;23292
650;11090;23357
651;12968;23283
652;12532;23368
653;10297;23291
654;10743;23318
655;11766;23315
656;11718;23361
657;12534;23322
658;11345;23364
659;12443;23303
660;11862;23328
661;11130;23350
662;11951;23338
663;12458;23317
664;11030;23328
665;10562;23313
666;11970;23306
667;12653;23322
668;11598;23280
669;11703;23275
670;11254;23336
671;11562;23361
672;13720;23299
673;11254;23269
674;11803;23303
675;11453;23290
676;12339;23308
677;12338;23309
678;11056;23306
679;11250;23251
680;11619;23305
681;11892;23370
682;12284;23315
683;12429;23326
684;12211;23324
685;11466;23284
686;12662;23351
687;11893;23297
688;12993;23302
689;12457;23298
690;13074;23374
691;10492;23349
692;10897;23336
693;11460;23324
694;13104;23325
695;11300;23311
696;10791;23339
697;11643;23340
698;12362;23318
699;11689;23309
700;12506;23276
701;12400;23315
702;12058;23306
703;11902;23270
704;11895;23355
705;12221;23276
706;11732;23292
707;12064;23332
708;12726;23241
709;11500;23294
710;11662;23273
711;11321;23293
712;11331;23361
713;12333;23310
714;11950;23332
715;11877;23350
716;11742;23299
717;12184;23341
718;11578;23335
719;10881;23350
720;12883;23331
721;13046;23351
722;11971;23340
723;11870;23267
724;12350;23313
725;13709;23320
726;12392;23278
727;11756;23329
728;10251;23258
729;12575;23331
730;12254;23342
731;10811;23304
732;10713;23334
733;12420;23336
734;13410;23267
735;11985;23292
736;11781;23288
737;9968;23361
738;10967;23352
739;12178;23320
740;12421;23313
741;12992;23224
742;12149;23370
743;11405;23333
744;12012;23281
745;10973;23362
746;11149;23352
747;13194;23353
748;13197;23313
749;11747;23246
750;11989;23344
751;11869;23340
752;11515;23349
753;10686;23320
754;11736;23301
755;10942;23310
756;12997;23350
757;11961;23316
758;10831;23300
759;12490;23245
760;10694;23300
761;12697;23329
762;11856;23301
763;11169;23280
764;12009;23349
765;11677;23350
766;13258;23353
767;12163;23296
768;13077;23323
769;11941;23333
770;11140;23305
771;12352;23244
772;12469;23353
773;11215;23370
774;11942;23325
775;11679;23351
776;11748;23348
777;11286;23327
778;12120;23325
779;11616;23320
780;11980;23308
781;11505;23310
782;12099;23353
783;10779;23280
784;11002;23232
785;12279;23312
786;11605;23333
787;12213;23320
788;11856;23368
789;11686;23348
790;12802;23292
791;12245;23325
792;11569;23362
793;11710;23356
794;12019;23345
795;12331;23368
796;11878;23293
797;11355;23287
798;11418;23321
799;11030;23340
800;12129;23355
801;12749;23348
802;11523;23374
803;11442;23304
804;12270;23326
805;13155;23323
806;11257;23329
807;11784;23305
808;12486;23308
809;12426;23345
810;12168;23365
811;12355;23297
812;12161;23305
813;12188;23316
814;11100;23314
815;11978;23212
816;11456;23242
817;12048;23354
818;11359;23294
819;11827;23343
820;13049;23302
821;12743;23294
822;11690;23284
823;11867;23314
824;12327;23335
