run_id;startPoints;endPoints
178;11794;15562
179;9442;15562
180;10653;15585
181;10502;15562
182;9026;15585
183;11427;15562
184;10447;15562
185;11941;15562
186;10270;15585
187;12876;15562
188;10678;15562
189;10088;15562
190;10979;15562
191;8679;15561
192;11465;15585
193;12868;15585
194;12282;15585
195;11140;15562
196;11037;15585
197;11151;15585
198;11629;15585
199;9162;15585
200;11854;15585
201;12165;15585
202;8621;15562
203;11270;15562
204;11860;15562
205;11497;15561
206;9886;15585
207;9461;15561
208;9385;15562
209;10216;15585
210;11183;15585
211;10099;15585
212;10259;15585
213;11477;15561
214;9361;15561
215;12100;15585
216;9249;15562
217;8270;15585
218;10824;15585
219;11043;15561
220;10897;15585
221;9618;15585
222;9884;15553
223;8924;15562
224;11287;15553
225;10015;15585
226;10639;15548
227;11014;15561
228;9713;15561
229;10671;15562
230;9966;15585
231;11302;15585
232;9808;15585
233;9729;15562
234;9788;15585
235;10488;15585
236;9741;15562
237;10207;15561
238;10928;15562
239;11429;15585
240;12687;15585
241;11026;15585
242;10713;15562
243;9625;15585
244;10238;15553
245;9816;15585
246;9565;15562
247;9263;15562
248;8885;15561
249;10316;15562
250;11742;15585
251;11202;15585
252;8724;15562
253;12123;15553
254;9973;15585
255;11711;15585
256;11168;15553
257;11004;15585
258;11174;15585
259;10726;15585
260;13108;15585
261;11513;15585
262;10358;15562
263;8364;15585
264;10096;15585
265;11102;15585
266;12481;15585
267;9857;15585
268;11665;15585
269;10678;15562
270;11994;15585
271;10170;15585
272;11139;15585
273;11536;15585
274;10510;15562
275;9694;15562
276;9786;15561
277;10889;15585
278;10078;15585
279;11038;15585
280;10563;15561
281;8889;15585
282;10071;15562
283;12413;15585
284;10597;15544
285;10735;15585
286;11918;15585
287;9606;15585
288;11469;15561
289;10113;15585
290;11019;15585
291;11930;15585
292;10984;15585
293;9727;15585
294;10833;15561
295;11809;15562
296;10162;15561
297;10975;15585
298;10963;15561
299;8969;15585
300;9488;15561
301;11217;15585
302;12033;15585
303;10920;15585
