time;points;iterations
0.381;16773;9
0.230;16496;5
0.315;16953;7
0.269;16957;6
0.295;16928;7
0.213;16794;4
0.520;16836;12
0.127;16762;2
0.187;16523;3
0.457;16701;5
1.115;16863;8
0.706;16701;4
0.837;16801;7
0.800;16881;8
0.561;16816;5
0.689;16842;9
0.623;16646;7
0.414;16640;5
0.317;16748;3
0.771;17053;10
0.408;16932;5
0.909;16928;11
0.775;16976;10
0.696;16717;8
0.421;16793;5
0.700;16602;9
0.969;16938;12
1.075;16825;12
0.767;16818;9
0.513;16816;7
0.534;16916;8
0.492;16769;8
0.617;16889;9
0.429;16705;7
0.422;16959;6
0.866;16768;12
0.216;16833;2
0.239;16998;3
0.441;16877;9
0.673;17022;13
0.479;16878;9
0.469;16967;7
0.483;16804;9
0.382;16750;8
0.345;16943;8
0.469;16734;8
0.254;16716;5
0.273;16761;5
0.155;16642;2
0.364;16677;8
0.267;16874;6
0.304;16872;6
0.260;16902;5
0.318;16869;7
0.284;16819;6
0.281;16762;6
0.276;16518;6
0.418;16664;7
0.301;16957;5
0.325;16710;6
0.435;17034;9
0.326;16806;6
0.745;16920;14
0.595;16861;10
0.315;16409;5
0.354;16896;6
0.517;16884;6
0.347;16707;5
0.490;16573;4
3.918;16565;6
0.478;16838;7
0.583;16901;8
0.640;16695;8
0.475;16853;6
0.709;16851;9
0.589;16896;7
0.347;16854;4
0.496;16871;5
1.385;16997;7
0.980;16824;10
0.814;16752;14
0.393;16641;6
0.329;16706;4
0.585;16764;7
0.566;16886;9
0.248;16532;3
0.555;16871;9
0.640;16813;8
0.352;16682;7
0.690;16968;9
0.555;16750;9
0.378;16827;8
0.465;16922;11
0.378;16881;9
0.197;16606;4
0.215;16819;5
0.225;16748;5
0.364;16985;9
0.354;16949;8
0.177;16701;4
0.147;16838;3
0.390;16860;9
0.427;16704;10
0.308;16784;6
0.213;16760;4
0.153;16937;3
0.359;16766;8
0.340;16778;8
0.284;16916;6
0.327;16609;8
0.482;16903;11
0.451;16950;9
0.261;16957;4
0.493;16987;8
0.303;16564;5
0.688;16919;9
0.375;16654;6
1.098;17060;15
1.035;16854;9
1.009;16714;7
0.736;16780;6
0.330;16702;3
0.590;16666;7
0.412;16638;7
0.273;16743;4
0.607;16919;9
0.826;16779;11
0.806;16877;11
0.541;16787;6
0.546;16770;6
1.139;16906;13
0.432;16705;4
0.648;16864;8
0.301;16809;3
0.333;16610;4
0.716;16794;9
0.653;16962;8
0.943;17047;12
0.321;16854;6
0.340;16630;7
0.332;16763;7
0.351;16725;6
0.564;16665;10
0.601;16807;9
0.607;16834;8
0.542;16629;8
0.475;16673;6
0.317;16733;3
0.255;16729;4
0.367;16719;7
0.314;16812;6
0.511;16927;11
0.473;16811;11
0.388;16636;8
0.418;17001;9
0.181;16948;3
0.432;16830;9
0.351;16736;8
0.338;16890;8
0.356;16875;8
0.362;16746;8
0.478;16675;11
0.316;16659;7
0.368;16582;8
0.371;16781;8
0.330;16903;6
0.445;16743;6
0.623;17025;7
0.500;16713;4
0.495;16725;5
0.588;16698;7
0.380;16759;6
0.571;16891;8
0.727;16890;11
0.764;16940;10
0.541;16767;7
0.493;16663;6
0.354;16723;4
0.759;16715;9
0.748;16717;9
0.245;16790;2
0.776;16978;9
0.611;16749;6
0.521;16466;5
0.245;16544;2
0.647;16758;6
0.796;16961;9
0.752;16790;11
0.447;16829;7
0.501;16737;6
0.472;16847;7
0.264;16947;4
0.443;16775;8
0.359;16754;7
0.364;16813;6
0.690;16752;10
0.501;16812;7
0.622;16747;10
0.673;16716;8
0.356;16708;5
0.437;17067;8
0.212;16797;3
0.337;16772;6
0.316;16954;6
0.345;16838;6
0.348;16908;7
0.294;16755;6
0.322;16867;7
0.465;16847;8
0.940;16953;9
0.491;16849;6
0.550;16730;7
0.280;16767;5
0.535;16857;10
0.301;16604;4
0.448;16818;7
0.532;16852;10
0.442;16836;7
0.517;17053;7
0.440;16853;9
0.591;16774;10
0.658;16978;8
0.397;16663;4
0.338;16787;4
0.691;16604;8
0.219;16777;3
0.517;16908;10
0.461;16792;6
0.513;16762;6
0.727;16827;10
0.440;16852;5
0.587;16705;7
0.413;16807;5
0.803;16602;10
0.671;16878;9
0.485;16856;6
0.276;16674;3
1.002;16906;12
0.567;16650;7
0.312;16791;3
0.536;16579;6
0.416;16808;8
0.260;16802;5
0.373;16677;7
0.522;16895;9
0.293;16758;6
0.390;16728;9
1.635;16919;10
0.422;16911;6
0.144;16750;2
0.438;16964;7
0.550;16739;7
0.367;16722;5
0.493;16885;11
0.512;17005;12
0.335;16707;7
0.375;16857;8
0.415;17018;7
0.144;16641;2
0.627;16758;8
0.688;16944;6
0.695;16755;7
0.638;16806;8
0.577;16870;10
0.465;16720;8
0.617;16824;9
0.527;16683;8
0.733;16874;11
0.379;16860;3
0.714;16893;8
0.463;16652;6
0.362;16689;4
0.517;16622;5
0.478;16730;7
0.518;16680;7
0.303;16725;6
0.482;16778;8
0.778;16987;13
0.782;16860;11
0.683;16723;8
0.878;16930;12
0.534;16721;6
0.638;16804;7
0.340;16682;4
0.612;16771;7
0.347;16770;4
0.487;16723;6
0.613;16752;7
0.283;16932;3
0.666;16791;8
0.327;16691;3
0.618;16797;9
0.495;16911;9
0.321;16551;6
0.633;16685;7
0.554;16792;7
0.801;16726;7
0.201;16645;2
0.285;16687;4
1.334;16840;10
0.602;16724;7
0.382;16745;4
0.480;16976;8
0.288;16798;5
0.423;16585;6
0.403;16943;9
0.383;16986;8
0.434;16775;10
0.163;16824;2
0.532;16951;8
0.684;16708;7
