time;points;iterations
0.992;16298;12
0.882;16921;18
0.534;16109;10
0.501;16663;11
0.497;15677;11
0.710;16812;13
0.998;16254;13
0.885;16018;15
0.696;16286;14
1.045;16900;22
0.908;16415;19
0.559;16694;13
0.360;15657;8
0.796;16716;17
0.705;16234;15
0.522;16821;10
0.731;15311;12
0.649;16449;14
0.597;16762;12
0.650;16135;10
0.982;16984;16
0.863;16342;9
0.638;16334;9
0.771;16736;12
1.318;16202;17
0.762;15758;9
0.804;16206;10
1.293;16810;15
1.596;15913;18
0.929;16714;8
1.233;16282;13
1.159;15582;12
0.801;16793;11
1.208;16060;17
1.208;16797;18
0.806;16137;16
0.806;16539;17
0.661;15719;14
0.722;16268;13
0.970;17029;13
0.604;15313;12
0.531;15852;12
0.859;16809;18
0.531;16840;12
0.544;16516;13
0.517;15896;11
1.015;17031;18
0.574;15673;10
0.833;16273;16
1.071;15493;17
0.798;16815;14
0.574;15649;9
0.847;16269;12
1.190;16695;13
0.757;15741;12
0.889;15877;14
1.016;16212;19
0.623;16362;11
0.825;16863;12
1.163;16292;14
1.186;16891;13
1.473;16781;18
1.310;16444;16
1.153;16321;14
1.144;16842;13
0.964;16743;12
0.712;15954;11
0.678;16222;12
0.883;16438;12
0.680;16225;12
0.663;16768;12
0.729;16887;15
1.015;16867;17
0.714;16917;12
1.013;16937;17
0.645;16261;11
0.723;16368;17
0.461;16953;11
0.520;16539;11
0.674;17013;13
0.707;16637;13
0.892;16926;15
1.652;16716;14
0.966;16876;18
1.007;16322;14
0.592;16326;12
0.754;16238;16
0.715;16715;13
0.521;16108;11
0.730;16746;16
0.546;16694;12
0.620;16707;13
0.476;16329;11
0.415;16075;9
0.796;15978;18
0.816;16794;20
0.297;15502;6
0.579;16748;13
0.869;16367;17
1.036;16096;14
0.753;16828;13
0.470;16819;9
1.475;16265;18
1.497;16762;12
1.172;16356;13
1.201;16652;15
2.077;16589;13
0.552;16373;11
0.824;16742;17
0.539;16006;11
1.517;16909;18
1.754;16737;18
1.225;16810;15
0.917;16817;17
0.839;16313;16
0.734;15694;14
0.721;16874;17
0.434;16905;10
0.388;16802;9
0.611;16888;14
0.551;16639;13
0.651;16692;15
0.432;16073;9
0.487;16752;11
0.506;16323;12
0.637;15981;15
1.581;16796;20
0.643;16297;13
0.644;16279;14
0.807;16063;14
0.938;16882;13
1.340;16290;16
1.410;16258;14
0.886;16123;11
1.026;16010;12
1.105;16304;14
1.091;16402;13
0.737;16642;15
0.896;16736;14
0.702;16161;13
0.708;16646;15
0.624;16794;13
0.749;16186;14
0.904;16283;17
0.708;16335;13
1.536;15745;16
0.974;15218;9
1.750;16883;18
1.599;16795;17
1.362;16915;16
1.106;16252;12
1.032;16959;11
1.423;16259;17
0.695;16872;12
