run_id;startPoints;endPoints
587;13585;17179
588;11369;17178
589;13327;17192
590;12853;17196
591;13541;17177
592;13521;17175
593;10777;17192
594;12322;17181
595;14736;17171
596;9631;17220
597;11532;17228
598;12328;17198
599;10551;17186
600;13619;17192
601;10737;17183
602;11538;17202
603;11111;17186
604;12481;17117
605;14299;17183
606;13669;17205
607;11879;17217
608;11818;17104
609;10968;17183
610;11894;17172
611;11355;17183
612;12951;17226
613;11060;17222
614;11892;17226
615;12871;17181
616;12840;17172
617;12500;17111
618;13085;17217
619;11957;17180
620;11669;17181
621;10496;17215
622;14220;17186
623;11505;17202
624;13593;17200
625;13400;17120
626;12494;17217
627;10451;17228
628;12123;17157
629;11180;17162
630;12643;17228
631;11731;17161
632;13367;17217
633;11933;17228
634;11414;17222
635;11692;17181
636;11714;17141
637;13195;17220
638;12728;17183
639;13851;17217
640;11675;17206
641;15809;17181
642;12980;17136
643;11503;17183
644;11424;17220
645;11052;17172
646;10255;17222
647;13682;17177
648;11357;17191
649;13046;17217
650;11857;17144
651;12292;17108
652;12796;17181
653;12591;17108
654;12178;17215
655;12090;17181
656;13742;17181
657;14838;17123
658;13068;17220
659;11792;17181
660;13454;17228
661;13605;17163
662;13569;17217
663;13635;17180
664;12141;17175
665;13098;17186
666;12344;17153
667;13463;17183
668;13336;17181
669;12139;17217
670;12902;17228
671;11620;17181
672;12852;17183
673;12754;17183
674;11315;17192
675;11002;17181
676;9860;17220
677;11144;17226
678;11155;17171
679;12139;17181
680;10161;17183
681;12312;17226
682;10215;17170
683;11622;17217
684;14815;17181
685;13057;17222
686;11721;17192
687;13289;17181
688;11761;17185
689;13512;17222
690;12818;17118
691;14963;17181
692;13273;17228
693;10042;17181
694;12788;17215
695;13103;17228
696;13299;17163
697;11717;17172
698;11906;17217
699;13617;17222
700;12563;17220
701;10415;17217
702;13216;17165
703;12251;17228
704;13146;17228
705;12605;17163
706;11657;17222
707;11835;17186
708;13543;17181
709;14501;17133
710;13189;17165
711;10614;17119
712;12581;17192
713;12678;17222
714;11993;17151
715;11601;17161
716;11561;17183
717;11420;17196
718;10547;17181
719;12739;17126
720;10871;17147
721;11633;17170
722;11954;17152
723;13957;17186
724;13460;17183
725;12446;17102
726;9942;17228
727;13310;17093
728;11836;17202
729;13021;17202
730;13664;17181
731;12169;17170
732;11418;17139
733;11829;17153
734;12693;17186
735;13493;17149
736;10369;17187
737;13032;17186
738;12952;17170
739;10424;17198
740;13246;17217
741;12206;17141
742;13309;17192
743;11543;17181
744;13526;17199
745;11100;17144
746;11550;17170
747;12670;17222
748;12873;17217
749;12097;17191
750;11365;17135
751;11567;17124
752;11146;17228
753;11842;17202
754;13533;17192
755;11110;17135
756;13415;17217
757;13472;17186
758;9819;17217
759;13137;17228
760;13308;17217
761;12868;17222
762;11487;17181
763;12457;17217
764;12165;17186
765;11063;17183
766;12880;17145
767;11433;17135
768;12831;17192
769;11548;17185
770;12200;17185
771;10783;17192
772;12015;17186
773;12313;17170
774;12797;17139
775;13474;17167
776;12939;17181
777;13524;17191
778;10502;17186
779;11784;17103
780;11619;17181
781;11629;17145
782;11931;17165
783;13220;17183
784;12373;17176
785;11154;17192
786;14508;17187
787;12942;17220
788;13040;17183
789;14345;17149
790;12088;17172
791;12361;17183
792;14610;17183
793;14132;17217
794;14561;17149
795;12363;17174
796;11294;17176
797;10190;17181
798;13479;17228
799;10628;17192
800;11687;17181
801;11650;17172
802;13070;17181
803;12395;17181
804;13186;17192
805;12132;17183
806;10808;17217
807;12243;17185
808;11469;17170
809;12089;17161
810;12222;17181
811;12100;17215
812;12138;17202
813;11549;17186
814;12585;17217
815;12500;17088
816;10064;17186
817;13021;17220
818;11999;17228
819;14044;17151
820;11393;17176
821;13326;17149
822;11081;17217
823;11387;17186
824;11864;17217
825;12733;17177
826;11028;17170
827;12747;17228
828;13724;17176
829;13447;17226
830;15665;17052
831;12337;17217
832;12381;17181
833;12904;17186
834;12126;17136
835;14749;17183
836;12835;17222
837;13724;17103
838;13797;17192
839;11723;17217
840;12343;17179
841;12174;17222
842;14068;17228
843;13813;17119
844;13948;17217
845;14493;17222
846;11991;17215
847;10872;17149
848;11850;17200
849;12314;17085
850;14248;17163
851;12059;17181
852;11106;17181
853;14115;17220
854;13219;17226
855;12668;17217
856;13522;17222
857;11573;17192
858;13749;17217
859;13066;17186
860;11627;17151
861;14074;17228
862;12458;17228
863;11349;17183
864;11678;17170
865;12075;17222
866;12165;17217
867;13099;17226
868;12957;17222
869;12769;17228
870;10991;17222
871;12592;17220
872;11778;17192
873;13707;17161
874;11599;17186
875;11723;17176
876;9744;17192
877;13701;17181
878;12731;17200
879;12770;17220
880;14114;17114
881;10218;17182
882;13428;17111
883;10632;17191
884;11591;17161
885;13601;17183
886;9937;17144
887;12158;17181
888;10410;17186
889;13527;17183
890;11276;17186
891;12016;17192
892;11547;17150
893;12596;17090
894;11118;17172
895;13344;17183
896;12700;17170
897;13814;17222
898;12187;17142
899;12393;17181
