time;points;iterations
373.044;23363;109
232.325;23306;95
345.318;23361;98
295.127;23326;99
405.305;23353;104
316.979;23319;111
126.856;23263;91
198.410;23280;98
245.880;23353;94
197.929;23325;88
223.102;23324;101
234.265;23248;98
305.139;23332;90
264.828;23307;100
233.548;23313;98
289.949;23318;81
154.564;23285;97
320.903;23349;106
301.945;23309;88
218.338;23348;105
326.435;23338;108
244.693;23315;96
212.969;23288;106
248.425;23307;95
281.393;23338;94
178.767;23301;102
172.565;23357;99
337.261;23357;117
286.747;23318;89
118.128;23291;91
137.958;23221;100
322.603;23342;117
210.606;23281;100
404.113;23341;117
287.507;23361;106
416.784;23339;105
198.767;23293;101
425.650;23344;93
316.428;23332;110
456.230;23282;106
197.186;23295;104
390.977;23307;106
240.461;23322;93
402.628;23334;96
241.903;23279;97
302.677;23315;97
217.425;23331;90
233.815;23249;106
158.124;23284;106
198.494;23312;102
348.444;23314;91
215.928;23326;93
184.801;23292;103
263.389;23262;102
174.745;23326;107
154.028;23325;93
255.786;23355;106
350.661;23352;109
161.938;23290;94
178.635;23339;102
218.604;23346;96
121.463;23252;92
298.806;23298;98
355.370;23311;103
254.626;23310;119
225.118;23327;96
272.392;23302;106
262.398;23332;104
402.422;23349;89
176.132;23334;105
264.136;23318;102
253.419;23341;108
371.941;23344;102
281.978;23351;97
247.026;23323;109
199.750;23293;93
260.836;23275;120
217.267;23304;111
337.957;23335;104
460.719;23286;100
155.492;23295;91
353.588;23352;102
381.408;23341;107
269.071;23340;104
162.341;23357;94
492.888;23354;102
275.371;23353;106
106.336;23284;88
149.789;23329;100
325.911;23333;91
279.268;23299;93
239.904;23323;96
271.262;23335;98
193.844;23322;90
316.664;23309;106
313.652;23308;110
261.634;23356;99
184.464;23302;93
242.341;23319;103
401.333;23343;108
285.902;23342;113
282.351;23332;108
180.176;23257;100
289.681;23324;91
185.203;23349;102
260.927;23353;111
347.583;23301;104
191.532;23252;91
261.242;23374;94
308.922;23322;105
298.393;23340;96
202.273;23317;99
482.245;23330;104
225.393;23362;90
229.024;23350;100
191.058;23347;108
213.679;23359;89
226.395;23324;101
233.497;23332;107
161.847;23324;98
177.759;23335;94
144.493;23299;96
228.150;23300;99
253.020;23333;104
169.322;23294;105
288.465;23309;110
188.530;23300;95
149.809;23227;103
243.190;23304;96
217.186;23315;95
273.041;23362;96
234.127;23306;95
291.908;23309;104
207.292;23324;92
309.886;23287;91
195.240;23304;93
298.383;23301;104
336.238;23363;112
111.413;23378;100
277.018;23322;100
188.558;23312;112
245.633;23324;112
274.278;23334;105
374.543;23349;112
232.041;23340;103
178.398;23315;96
241.529;23336;103
159.104;23306;97
313.226;23356;111
434.541;23327;100
189.876;23311;94
339.891;23350;98
306.982;23309;110
283.915;23350;108
324.826;23342;98
382.963;23301;97
404.153;23313;111
286.681;23354;96
184.795;23320;102
241.331;23280;99
290.508;23350;96
204.806;23246;89
140.171;23307;94
152.182;23325;96
279.118;23322;99
385.513;23336;109
180.041;23306;96
318.463;23340;119
213.118;23292;92
381.433;23339;107
253.743;23314;112
260.356;23363;98
170.387;23299;107
268.098;23302;105
193.805;23186;104
302.646;23306;98
229.586;23357;95
307.880;23333;106
216.542;23320;90
272.602;23356;107
144.420;23326;102
266.777;23374;97
259.133;23357;103
308.995;23361;118
293.404;23348;97
213.985;23310;111
231.497;23316;94
153.819;23229;79
116.869;23259;92
263.980;23332;111
234.837;23350;96
208.904;23325;92
308.286;23339;105
271.851;23340;96
178.431;23273;81
159.503;23350;102
262.243;23320;90
394.534;23337;100
172.249;23261;93
297.378;23311;95
286.448;23311;102
415.289;23316;105
284.870;23266;105
330.265;23331;109
325.298;23310;114
339.329;23353;108
348.916;23288;82
152.810;23291;102
260.077;23340;96
325.215;23315;113
185.962;23308;96
143.298;23324;93
263.042;23303;88
229.201;23309;109
184.797;23263;105
227.209;23324;98
291.156;23350;102
314.865;23318;105
311.935;23325;102
412.906;23290;96
290.644;23301;89
192.548;23338;92
177.234;23315;93
550.736;23335;98
226.353;23262;103
193.044;23332;102
324.075;23348;84
391.339;23345;111
404.484;23329;99
226.308;23345;91
276.974;23355;102
287.783;23306;110
273.137;23365;102
316.465;23324;106
226.235;23299;115
176.527;23316;101
239.154;23305;103
280.189;23322;114
338.176;23332;103
323.870;23350;113
260.806;23315;105
423.032;23317;108
194.989;23350;82
201.543;23310;104
401.011;23319;106
195.116;23257;90
194.628;23308;107
208.278;23302;112
357.984;23359;101
448.549;23364;103
133.236;23253;88
142.142;23291;92
359.562;23320;102
226.353;23298;98
303.680;23299;98
246.152;23308;92
230.325;23322;110
346.783;23364;100
165.282;23294;104
348.141;23298;86
262.237;23354;93
245.222;23366;106
414.280;23320;107
193.113;23234;105
250.325;23312;96
342.360;23353;108
255.906;23262;91
538.396;23322;106
355.026;23334;104
208.830;23312;105
224.276;23295;99
214.893;23305;88
166.099;23261;111
447.001;23364;110
159.046;23308;96
266.189;23272;96
366.630;23311;101
348.392;23324;106
309.452;23330;109
306.029;23255;102
386.526;23314;105
251.703;23277;99
274.334;23324;111
233.715;23282;95
340.617;23319;94
223.951;23321;108
245.306;23267;112
358.888;23351;112
