variant;run;score;time_ms;iterations;states
standard;343;23225;62.515;35.0;36
standard;344;22983;56.938;30.0;31
standard;345;23216;64.603;36.0;37
standard;346;23055;34.790;33.0;34
standard;347;23166;61.810;34.0;35
standard;348;23055;61.009;33.0;34
standard;349;23096;42.265;34.0;35
standard;350;22955;40.165;32.0;33
standard;351;22918;59.161;33.0;34
standard;352;23051;45.166;33.0;34
standard;353;23120;45.808;33.0;34
standard;354;23185;36.901;31.0;32
standard;355;23002;38.017;32.0;33
standard;356;23165;38.798;33.0;34
standard;357;23092;59.121;32.0;33
standard;358;23089;36.943;32.0;33
standard;359;22945;39.822;32.0;33
standard;360;23238;58.540;33.0;34
standard;361;23233;46.701;33.0;34
standard;362;23164;39.302;34.0;35
standard;363;23248;77.998;32.0;33
standard;364;23259;33.011;32.0;33
standard;365;23004;62.095;32.0;33
standard;366;23179;65.084;32.0;33
standard;367;23005;35.255;34.0;35
standard;368;23162;44.972;33.0;34
standard;369;22912;33.435;30.0;31
standard;370;23225;87.570;34.0;35
standard;371;23153;59.760;34.0;35
standard;372;23100;58.090;33.0;34
standard;373;22885;60.461;32.0;33
standard;374;23124;54.983;32.0;33
standard;375;23074;49.660;31.0;32
standard;376;23191;51.326;34.0;35
standard;377;23005;53.413;32.0;33
standard;378;23115;43.178;31.0;32
standard;379;23106;33.073;31.0;32
standard;380;23038;60.706;34.0;35
standard;381;23264;58.408;36.0;37
standard;382;23180;39.789;31.0;32
standard;383;23178;55.833;31.0;32
standard;384;23172;32.509;32.0;33
standard;385;23186;61.806;35.0;36
standard;386;23081;38.772;32.0;33
standard;387;23085;44.106;35.0;36
standard;388;23060;54.821;30.0;31
standard;389;22912;31.423;32.0;33
standard;390;22961;40.027;31.0;32
standard;391;23215;41.677;31.0;32
standard;392;23189;34.885;34.0;35
standard;393;23303;56.160;33.0;34
standard;394;23099;56.513;34.0;35
standard;395;23080;48.671;32.0;33
standard;396;22932;60.663;30.0;31
standard;397;23110;45.799;34.0;35
standard;398;23086;61.613;34.0;35
standard;399;23171;44.622;33.0;34
standard;400;22785;30.235;29.0;30
standard;401;23171;45.661;33.0;34
standard;402;23076;32.444;33.0;34
standard;403;23194;61.901;34.0;35
standard;404;23153;59.712;34.0;35
standard;405;23014;40.610;30.0;31
standard;406;23147;55.070;32.0;33
standard;407;23138;31.984;33.0;34
standard;408;22960;57.471;31.0;32
standard;409;23142;37.214;33.0;34
standard;410;23171;85.369;35.0;36
standard;411;23272;46.400;36.0;37
standard;412;23145;51.295;36.0;37
standard;413;23123;40.619;32.0;33
standard;414;23096;40.731;33.0;34
standard;415;23228;61.759;33.0;34
standard;416;23108;71.729;31.0;32
standard;417;23045;77.672;31.0;32
standard;418;23185;73.399;29.0;30
standard;419;22910;83.762;29.0;30
standard;420;23233;52.730;32.0;33
standard;421;23243;39.083;34.0;35
standard;422;22998;40.138;32.0;33
standard;423;23159;41.168;32.0;33
